# Time-averaged data for fix total
# TimeStep v_etot v_evdw v_etail v_ecoul v_elong v_volume
280600 14369.5 438.727 -76.2114 1039.6 -991.704 25021.7
280700 14229.5 392.437 -76.2114 1042.11 -991.471 25021.7
280800 14323.6 427.868 -76.2114 1038.05 -991.417 25021.7
280900 14341.6 427.608 -76.2114 1042.32 -991.441 25021.7
281000 14331.7 426.769 -76.2114 1042.91 -991.165 25021.7
281100 14287 438.962 -76.2114 1042.1 -990.701 25021.7
281200 14235 416.953 -76.2114 1042.05 -991.018 25021.7
281300 14315.9 452.64 -76.2114 1040.9 -991.206 25021.7
281400 14303 409.674 -76.2114 1045.89 -990.987 25021.7
281500 14359.5 428.147 -76.2114 1044.68 -991.455 25021.7
281600 14290.9 411.942 -76.2114 1043.07 -992.024 25021.7
281700 14290.8 426.029 -76.2114 1039.54 -991.985 25021.7
281800 14311.2 398.563 -76.2114 1043.46 -991.582 25021.7
281900 14335.1 404.236 -76.2114 1043.7 -991.606 25021.7
282000 14319.1 421.019 -76.2114 1041.11 -991.98 25021.7
282100 14282.6 410.06 -76.2114 1044 -992.029 25021.7
282200 14311.1 431.751 -76.2114 1044.07 -992.039 25021.7
282300 14331.3 445.103 -76.2114 1041.03 -992.148 25021.7
282400 14331.9 425.144 -76.2114 1039.29 -992.419 25021.7
282500 14256.5 411.544 -76.2114 1040.56 -992.469 25021.7
282600 14284.4 438.481 -76.2114 1043.74 -991.538 25021.7
282700 14292.7 425.331 -76.2114 1043.85 -991.311 25021.7
282800 14339.9 440.139 -76.2114 1042.69 -992.1 25021.7
282900 14320.6 425.678 -76.2114 1041.37 -992.393 25021.7
283000 14307.9 426.608 -76.2114 1044.33 -992.066 25021.7
283100 14288.8 412.163 -76.2114 1042.27 -992.039 25021.7
283200 14296.2 407.905 -76.2114 1044.42 -992.152 25021.7
283300 14266.2 422.195 -76.2114 1042.71 -992.309 25021.7
283400 14318.5 420.258 -76.2114 1041.71 -991.829 25021.7
283500 14287 407.455 -76.2114 1044.34 -991.781 25021.7
283600 14310.7 421.506 -76.2114 1043.62 -991.868 25021.7
283700 14288.8 403.079 -76.2114 1041.43 -992.241 25021.7
283800 14292.6 415.491 -76.2114 1041.59 -992.729 25021.7
283900 14333.1 412.298 -76.2114 1040.15 -991.948 25021.7
284000 14262.5 421.652 -76.2114 1043.01 -991.683 25021.7
284100 14291.4 409.228 -76.2114 1042.13 -992.005 25021.7
284200 14278.1 412.591 -76.2114 1046.42 -991.726 25021.7
284300 14307.3 392.274 -76.2114 1041.99 -991.373 25021.7
284400 14308.2 434.083 -76.2114 1043.12 -991.544 25021.7
284500 14269.1 372.041 -76.2114 1042.2 -991.307 25021.7
284600 14309.7 433.957 -76.2114 1041.37 -991.488 25021.7
284700 14297 403.706 -76.2114 1040.68 -991.649 25021.7
284800 14309.2 419.788 -76.2114 1040.36 -991.622 25021.7
284900 14258.7 414.283 -76.2114 1039.44 -991.492 25021.7
285000 14266.4 417.294 -76.2114 1041.27 -991.235 25021.7
285100 14277.5 423.717 -76.2114 1042.13 -991.109 25021.7
